Wavelength (nm)	Tan(Psi)	Cos(Del)
758.2	0.0333	0.6641
760.6	0.0388	0.6082
762.9	0.0321	1.2947
765.3	0.0359	0.7092
767.6	0.0283	0.7456
770.0	0.0241	0.7811
772.4	0.0369	0.7243
774.7	0.0477	0.5550
777.1	0.0371	0.6989
779.4	0.0504	0.5671
781.8	0.0564	0.4858
784.1	0.0546	0.5714
786.5	0.0697	0.4215
788.8	0.0777	0.3486
791.2	0.0841	0.3482
793.5	0.0796	0.4119
795.9	0.0892	0.3024
798.2	0.0835	0.3402
800.6	0.0736	0.4975
802.9	0.0724	0.4836
805.3	0.0754	0.4018
807.6	0.0554	0.9708
810.0	0.0552	0.5895
812.4	0.0477	0.6604
814.7	0.0664	0.4853
817.1	0.0746	0.4596
819.4	0.0846	0.3682
821.8	0.0757	0.4533
824.1	0.0760	0.4492
826.5	0.0902	0.3770
828.8	0.0829	0.4630
831.2	0.0763	0.4891
833.5	0.0787	0.4778
835.9	0.0800	0.4321
838.2	0.0808	0.4942
840.6	0.0503	0.6220
842.9	0.0588	0.5838
845.3	0.0504	0.6705
847.6	0.0639	0.5615
850.0	0.0681	0.5376
