Wavelength (nm)	Tan(Psi)	Cos(Del)
507.1	0.6803	-0.2203
508.3	0.6809	-0.2227
509.5	0.6809	-0.2254
510.7	0.6811	-0.2276
511.8	0.6810	-0.2289
513.0	0.6810	-0.2303
514.2	0.6809	-0.2317
515.4	0.6813	-0.2333
516.5	0.6816	-0.2356
517.7	0.6822	-0.2376
518.9	0.6825	-0.2397
520.1	0.6830	-0.2416
521.2	0.6835	-0.2437
522.4	0.6833	-0.2453
523.6	0.6835	-0.2471
524.8	0.6835	-0.2493
525.9	0.6837	-0.2507
527.1	0.6835	-0.2530
528.3	0.6831	-0.2549
529.5	0.6832	-0.2563
530.6	0.6836	-0.2581
531.8	0.6841	-0.2595
533.0	0.6841	-0.2615
534.1	0.6837	-0.2633
535.3	0.6828	-0.2654
536.5	0.6830	-0.2674
537.7	0.6828	-0.2689
538.8	0.6828	-0.2708
540.0	0.6822	-0.2728
541.2	0.6823	-0.2750
542.4	0.6826	-0.2766
543.5	0.6830	-0.2781
544.7	0.6830	-0.2796
545.9	0.6828	-0.2811
547.1	0.6824	-0.2831
548.2	0.6822	-0.2856
549.4	0.6817	-0.2877
550.6	0.6811	-0.2896
551.8	0.6806	-0.2910
552.9	0.6803	-0.2925
554.1	0.6797	-0.2943
555.3	0.6796	-0.2962
556.5	0.6788	-0.2983
557.6	0.6787	-0.3001
558.8	0.6789	-0.3018
560.0	0.6789	-0.3032
561.2	0.6785	-0.3047
562.3	0.6776	-0.3062
563.5	0.6773	-0.3085
564.7	0.6770	-0.3101
565.9	0.6773	-0.3118
567.0	0.6772	-0.3135
568.2	0.6773	-0.3153
569.4	0.6775	-0.3167
570.5	0.6774	-0.3183
571.7	0.6777	-0.3198
572.9	0.6781	-0.3213
574.1	0.6783	-0.3227
575.2	0.6786	-0.3241
576.4	0.6790	-0.3261
577.6	0.6790	-0.3275
578.8	0.6790	-0.3294
579.9	0.6786	-0.3309
581.1	0.6785	-0.3328
582.3	0.6784	-0.3342
583.5	0.6782	-0.3358
584.6	0.6784	-0.3380
585.8	0.6792	-0.3394
587.0	0.6798	-0.3412
588.2	0.6802	-0.3427
